"id";"label";"sectionId";"seqInSection";"isActive";"createdBy";"createdDate";"modifiedBy";"modifiedDate";"isMale"
77;"夜间气短咳嗽";12;5;"1";"Admin";"";"Admin";"";"1"
78;"脚踝肿胀，尤其是在一天结束时";12;6;"1";"Admin";"";"Admin";"";"1"
79;"背中部疼痛";13;1;"1";"Admin";"";"Admin";"";"1"
80;"肾结石史";13;2;"1";"Admin";"";"Admin";"";"1"
81;"黑眼圈或眼袋";13;3;"1";"Admin";"";"Admin";"";"1"
82;"尿液浑浊或尿色深";13;4;"1";"Admin";"";"Admin";"";"1"
83;"尿有强烈气味";13;5;"1";"Admin";"";"Admin";"";"1"
84;"尿有大量泡沫";13;6;"1";"Admin";"";"Admin";"";"1"
85;"流鼻涕或流青鼻";14;1;"1";"Admin";"";"Admin";"";"1"
86;"经常感冒，易被传染";14;2;"1";"Admin";"";"Admin";"";"1"
87;"皮肤瘙痒/皮炎";14;3;"1";"Admin";"";"Admin";"";"1"
88;"感染频繁（耳、鼻窦、肺、皮肤、膀胱、肾等）";14;4;"1";"Admin";"";"Admin";"";"1"
89;"刺激性咳嗽";14;5;"1";"Admin";"";"Admin";"";"1"
90;"患囊肿、疖子、皮疹";14;6;"1";"Admin";"";"Admin";"";"1"
